BN,School_Year,Start_Date,Overall_Rating,Indicator_1.1,Indicator_1.2,Indicator_1.3,Indicator_1.4,Indicator_1.5,Indicator_1.6,Indicator_1.7,IndicatorOverall_1,Indicator_2.1,Indicator_2.2,Indicator_2.3,Indicator_2.4,Indicator_2.5,Indicator_2.6,Indicator_2.7,IndicatorOverall_2,Indicator_3.1,Indicator_3.2,Indicator_3.3,Indicator_3.4,Indicator_3.5,Indicator_3.6,Indicator_3.7,Indicator_3.8,IndicatorOverall_3,Indicator_4.1,Indicator_4.2,Indicator_4.3,Indicator_4.4,Indicator_4.5,Indicator_4.6,Indicator_4.7,IndicatorOverall_4,Indicator_5.1,Indicator_5.2,Indicator_5.3,Indicator_5.4,Indicator_5.5,Indicator_5.6,Indicator_5.7,IndicatorOverall_5
M307,2005-06,2006-04-03T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
M459,2005-06,2006-04-03T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
M560,2005-06,2006-04-03T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
M294,2005-06,2006-04-05T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
M299,2005-06,2006-04-05T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
M407,2005-06,2006-04-05T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
M519,2005-06,2006-04-05T00:00:00.000,WD,P,P,P,P,No Data,No Data,No Data,P,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
M304,2005-06,2006-04-07T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
M449,2005-06,2006-04-07T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
M570,2005-06,2006-04-07T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
M696,2005-06,2006-04-07T00:00:00.000,WD,P,P,P,P,No Data,No Data,No Data,P,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
K544,2005-06,2006-04-10T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
K337,2005-06,2006-04-24T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
K685,2005-06,2006-04-24T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
M479,2005-06,2006-04-24T00:00:00.000,WD,P,P,P,P,No Data,No Data,No Data,P,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
Q263,2005-06,2006-04-24T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
Q560,2005-06,2006-04-24T00:00:00.000,U,P,P,P,P,No Data,No Data,No Data,P,U,U,U,U,U,No Data,No Data,U,P,P,P,P,P,P,P,P,P,U,U,U,U,U,U,U,U,U,U,U,U,No Data,No Data,No Data,U
K524,2005-06,2006-04-26T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
K533,2005-06,2006-04-26T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,U,U,U,U,No Data,No Data,No Data,U
X231,2005-06,2006-04-26T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
X269,2005-06,2006-04-26T00:00:00.000,U,U,U,U,U,No Data,No Data,No Data,U,U,U,U,U,U,No Data,No Data,U,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,U,U,U,U,No Data,No Data,No Data,U
Q530,2005-06,2006-04-28T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
X265,2005-06,2006-04-28T00:00:00.000,P,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
X530,2005-06,2006-04-28T00:00:00.000,U,U,U,U,U,No Data,No Data,No Data,U,U,U,U,U,U,No Data,No Data,U,P,P,P,P,P,P,P,P,P,U,U,U,U,U,U,U,U,U,U,U,U,No Data,No Data,No Data,U
X682,2005-06,2006-04-28T00:00:00.000,WD,P,P,P,P,No Data,No Data,No Data,P,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
K330,2005-06,2006-05-01T00:00:00.000,P,U,U,U,U,No Data,No Data,No Data,U,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,U,U,U,U,No Data,No Data,No Data,U
K546,2005-06,2006-05-02T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
M050,2005-06,2006-05-02T00:00:00.000,U,U,U,U,U,No Data,No Data,No Data,U,U,U,U,U,U,No Data,No Data,U,U,U,U,U,U,U,U,U,U,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
M497,2005-06,2006-05-02T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
